Date,Time UTC,Plume Altitude (km),READY Windspeed (m/s),OMI Mass (tonnes),OMI ER (t/d),OMI Alt Alg,Cumulative SO2 Mass (kt),Cumulative SO2 Emission Rate (t/d),OMI orbit
3/14/09,22:23,,,0,0,,0,,24809
3/15/09,21:31,,,0,0,,0,,24823
3/16/09,22:14,,,0,0,,0,,24838
3/17/09,21:20,,,0,0,,0,,24852
3/18/09,22:02,,,0,0,,0,,24867
3/19/09,22:45,,3.6,0,0,3km,0,0,24882
3/20/09,21:50,,,0,0,,0,0,24896
3/21/09,22:33,,3.7,300,400,3km,300,400,24911
3/22/09,21:38,,,0,0,,300,400,24925
3/23/09,20:40,11,13.07,54400,71400,5km,54700,71800,24940
3/24/09,21:22,10,19.7,60100,84100,5km,114800,155900,24954
3/25/09,23:44,,,0,0,,114800,155900,
3/26/09,21:10,4,,13600,27500,3km,128400,183400,24983
3/27/09,23:31,9,8.67,20200,18800,5km,148600,202200,24999
3/28/09,20:58,8,31.1,38500,75000,5km,187100,277200,25012
3/29/09,21:41,10,12.55,200,1200,5km,187300,278400,25027
3/30/09,0:02,7,5.7,3200,2900,5km,190500,281300,25043
3/31/09,21:28,6,17.83,1500,3000,5 km,192000,284300,25056
4/1/09,22:11,7,29.23,5000,17700,5km,197000,302000,25071
4/2/09,21:16,,,0,0,,197000,302000,
4/3/09,21:59,7.5,14.13,3800,6400,5km,200800,308400,25100
4/4/09,21:04,3.8,9.17,24200,26900,3km,225000,335300,25114
4/5/09,,4.3,,,,,225000,335300,
4/6/09,22:30,4,3.35,4100,3600,3km,229100,338900,25144
4/7/09,21:34,7,2.03,8200,1900,5km,237300,340800,25158
4/8/09,22:17,7,9.7,11400,9800,5km,248700,350600,25173
4/9/09,21:22,7,15.4,12300,10400,5km,261000,361000,
4/10/09,20:29,8,9.35,9800,6000,5km,270800,367000,25201
4/11/09,22:48,11,5.1,13700,5500,5km,284500,372500,25217
4/12/09,21:53,8,8.27,24600,12600,5km,309100,385100,25213
4/13/09,20:58,6,28.1,7500,10800,5km,316600,395900,25245
4/14/09,21:41,,12.43,5200,5800,5km,321800,401700,25260
4/15/09,22:23,,7.78,6600,4100,5km,328400,405800,25274
